,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,28,AU,1582092503,14,-33.65,115.33,93.99,14.72
1,Ushuaia,75,AR,1582092432,81,-54.8,-68.3,46.4,28.86
2,Avarua,100,CK,1582092497,83,-21.21,-159.78,80.6,8.05
3,Vaini,40,TO,1582092513,78,-21.2,-175.2,78.8,8.05
4,Coos Bay,1,US,1582092549,93,43.37,-124.22,44.01,6.44
5,Aktobe,86,KZ,1582092550,73,50.28,57.21,24.8,20.13
6,Ulaanbaatar,75,MN,1582092495,52,47.91,106.88,19.4,4.81
7,Kapaa,75,US,1582091960,78,22.08,-159.32,75.2,23.04
8,George Town,20,MY,1582092432,66,5.41,100.34,89.6,3.36
9,Qaanaaq,61,GL,1582092557,66,77.48,-69.36,-13.72,6.62
10,Nikolskoye,90,RU,1582092559,80,59.7,30.79,39.2,8.95
11,Salalah,20,OM,1582092560,64,17.02,54.09,75.2,3.36
12,Hobart,40,AU,1582092562,47,-42.88,147.33,63.0,20.8
13,Mount Isa,41,AU,1582092506,24,-20.73,139.5,102.2,14.99
14,Russell,90,US,1582092470,93,32.35,-85.2,64.4,5.73
15,East London,84,ZA,1582092109,94,-33.02,27.91,68.0,5.82
16,Klaksvik,95,FO,1582092534,93,62.23,-6.59,37.4,3.36
17,Longyearbyen,40,SJ,1582092525,60,78.22,15.64,5.0,18.34
18,Punta Arenas,75,CL,1582092498,70,-53.15,-70.92,46.4,23.04
19,Xichang,31,CN,1582092571,50,27.9,102.26,47.34,7.92
20,Miyoshi,75,JP,1582092573,36,35.08,137.07,55.0,17.22
21,Provideniya,40,RU,1582092368,77,64.38,-173.3,6.8,17.9
22,Mataura,70,NZ,1582092572,72,-46.19,168.86,60.01,10.0
23,Fortuna,1,US,1582092474,93,40.6,-124.16,39.99,1.86
24,Rikitea,1,PF,1582092508,78,-23.12,-134.97,78.85,14.81
25,Poya,0,NC,1582092580,83,-21.35,165.15,78.84,15.23
26,Sembe,91,CG,1582092581,88,1.65,14.58,70.92,2.04
27,Santa Isabel do Rio Negro,34,BR,1582092582,87,-0.41,-65.02,76.1,0.67
